Type,Work Type,Job Description,Estimated Job Costs
W,Sprinklers,New sprinkler system for renovated historic theater,300000
W,Sprinklers,Upgrade of sprinkler system in college dormitory to meet current codes,180000
W,Sprinklers,Installation of pre-action sprinkler system in museum exhibit hall,220000
W,Sprinklers,New sprinkler system for high-pile storage warehouse,500000
W,Sprinklers,Retrofit of sprinkler system in parking garage,160000
W,Structural,Seismic retrofit of unreinforced masonry building,800000
W,Structural,Installation of tuned mass damper in slender high-rise building,1500000
W,Structural,Structural reinforcement for rooftop helipad on hospital,600000
W,Structural,Carbon fiber reinforcement of concrete beams in parking structure,250000
W,Structural,Foundation stabilization using helical piers for settling historic building,180000
W,Structural,Structural modifications to accommodate new atrium in office building,400000
W,Structural,Strengthening of bridge structure for increased load capacity,1200000
W,Structural,Installation of moment frames for open floor plan in retail space,150000
W,Construction Fence,Installation of branded construction fence with public art for museum expansion,40000
W,Construction Fence,Noise-reducing acoustic fence for urban construction site,55000
W,Construction Fence,Temporary fence with integrated security cameras for high-security project,75000
W,Construction Fence,Installation of living green construction fence for eco-friendly development,45000
W,Construction Fence,Modular reusable fencing system for multi-phase campus construction,90000
W,Construction Fence,Wind-resistant fencing for high-rise construction in coastal area,65000
W,Construction Fence,Custom-designed construction fence for high-profile urban project,80000
W,Sidewalk Shed,Installation of sidewalk shed with solar-powered lighting for long-term project,85000
W,Sidewalk Shed,Heavy-duty sidewalk shed for demolition of 30-story building,200000
W,Sidewalk Shed,Sidewalk shed with heat tracing for winter construction project,110000
W,Sidewalk Shed,Custom-designed sidewalk shed to maintain retail visibility during construction,95000
W,Sidewalk Shed,Sidewalk shed with integrated public art installation,70000
W,Sidewalk Shed,High-capacity sidewalk shed for major facade restoration project,150000
W,Supported Scaffold,Installation of suspended scaffold system for bridge maintenance,120000
W,Supported Scaffold,Multi-point suspended scaffold for high-rise window replacement,180000
W,Supported Scaffold,Cantilever scaffold system for overhanging structure renovation,95000
W,Supported Scaffold,Interior scaffold system for cathedral ceiling restoration,85000
W,Supported Scaffold,Scaffold system with debris netting for facade cleaning project,70000
W,Antenna,Installation of 5G small cell antennas on utility poles throughout downtown,200000
W,Antenna,Upgrade of television broadcast antenna on skyscraper,350000
W,Antenna,New rooftop cellular antenna array for improved coverage in suburban area,120000
W,Antenna,Installation of long-range Wi-Fi antennas for rural broadband project,180000
W,Boiler Equipment,Replacement of coal-fired boiler with high-efficiency natural gas system,600000
W,Boiler Equipment,Installation of biomass boiler for district heating system,800000
W,Boiler Equipment,Upgrade of industrial boiler to meet new emissions standards,450000
W,Boiler Equipment,Installation of condensing boilers for large office complex,350000
W,Sign,Design and installation of digital billboard on highway,250000
W,Sign,Custom neon sign creation for historic theater restoration,75000
W,Sign,Installation of wayfinding signage system for university campus,120000
W,Solar,Large-scale solar array installation for shopping center,500000
W,Solar,Integrated solar roof tiles for new residential development,350000
W,Standpipe,Installation of new standpipe system in high-rise residential building,280000
W,Protection and Mechanical Methods,Installation of hydraulic shores for deep excavation support,80000
W,Curb Cut,Creation of ADA-compliant curb cut with tactile warning surface,18000
W,Earth Work,Site preparation and terracing for hillside vineyard development,95000
W,Full Demolition,Implosion of obsolete 20-story office tower in urban center,1500000
W,Support of Excavation,Installation of secant pile wall for below-grade parking structure,450000
W,Foundation,Construction of mat foundation for new wind turbine,750000
W,Alteration,Conversion of former industrial loft into co-working space,280000
W,Fire Suppression,Installation of FM-200 fire suppression system in server room,85000
W,Demolition & Removal,Surgical demolition of interior for historical building adaptive reuse,110000
W,Fuel Storage,Installation of biodiesel fuel storage and dispensing system for fleet vehicles,95000
W,Electrical,Implementation of smart grid technology for university campus,500000
W,Construction Equipment,Setup of gantry crane system for precast concrete installation,350000
W,Chute,Installation of automated waste sorting and recycling chute system,70000
W,Fence,Installation of wildlife exclusion fence for airport runway,120000
W,Earthwork Only,Creation of artificial wetland for stormwater management,180000
W,Partitions,Installation of acoustic movable partitions in conference center,110000
W,Marquees,Design and installation of interactive LED marquee for arts center,150000
W,BPP (Builder Pavement Plan),Implementation of permeable paving system for eco-friendly streetscape,200000
W,New Building,Construction of net-zero energy certified office building,15000000
W,Equipment Work,Installation of automated material handling system in distribution center,800000
W,Fire Alarm,Implementation of voice evacuation system in large shopping mall,250000
W,Combined,Comprehensive life safety upgrade package for university dormitory complex,2000000
W,Limited Alteration Application,Installation of energy-efficient lighting system in retail store,25000
W,Temporary Place of Assembly,Setup of temporary ice skating rink with associated structures in public park,180000
W,Elevator,Installation of destination dispatch elevator system in office high-rise,1200000
W,Place of Assembly,Conversion of abandoned factory into multi-use performance arts center,5000000
W,Fuel Burning,Installation of cogeneration system for district heating and power,3500000
W,General Construction,Renovation of subway station for improved accessibility,8500000
W,General Construction,Construction of green roof on existing convention center,1500000
W,General Construction,Conversion of parking garage into urban farming facility,2800000
W,General Construction,Restoration of historic lighthouse and keeper's quarters,950000
W,General Construction,Construction of net-zero energy public library,6500000
W,General Construction,Renovation of sports arena for improved spectator experience,12000000
W,General Construction,Adaptive reuse of power plant into contemporary art museum,9000000
W,General Construction,Construction of wildlife crossing bridge over highway,4500000
W,General Construction,Renovation of cruise ship terminal for increased capacity,7000000
W,General Construction,Construction of modular affordable housing development,5500000
W,General Construction,Retrofit of office tower for post-pandemic workplace design,3200000
W,General Construction,Renovation of former post office into food hall,2500000
W,General Construction,Construction of disaster-resistant community center,3800000
W,General Construction,Adaptive reuse of grain silo into rock climbing facility,1800000
W,General Construction,Renovation of historic train station into boutique hotel,6800000
W,General Construction,Construction of floating pedestrian bridge in city park,4200000
W,General Construction,Conversion of big box store into e-commerce fulfillment center,3500000
W,General Construction,Renovation of former church into community arts center,2200000
W,General Construction,Construction of eco-friendly car wash facility,950000
W,General Construction,Adaptive reuse of shipping containers for retail pop-up village,1500000
W,General Construction,Renovation of zoo exhibits for improved animal welfare,5800000
W,Plumbing,Installation of water reclamation system for car wash facility,180000
W,Plumbing,New plumbing systems for floating home community,420000
W,Plumbing,Installation of vacuum waste collection system for airport terminal,750000
W,Plumbing,Upgrade of plumbing fixtures in sports stadium for water conservation,280000
W,Plumbing,New hot water distribution system for large hospital complex,550000
W,Plumbing,Installation of radiant floor heating system in luxury home,95000
W,Plumbing,Replacement of aging water mains in downtown business district,1200000
W,Mechanical Systems,Installation of displacement ventilation system in lecture hall,250000
W,Mechanical Systems,New HVAC system with thermal energy storage for office complex,1800000
W,Mechanical Systems,Installation of radiant cooling system in airport terminal,2200000
W,Mechanical Systems,Upgrade of mechanical systems in high-security government facility,1500000
W,Mechanical Systems,New HVAC system for indoor vertical farming facility,900000
W,Sprinklers,Installation of deluge sprinkler system in aircraft maintenance hangar,550000
W,Sprinklers,New sprinkler system for high-ceiling atrium in shopping mall,320000
W,Sprinklers,Upgrade of sprinkler system in historic library with rare book collection,280000
W,Sprinklers,Installation of dry pipe sprinkler system in cold storage warehouse,420000
W,Sprinklers,New sprinkler system for multi-story car park,380000
W,Structural,Structural reinforcement of dam for increased water capacity,2800000
W,Structural,Installation of base isolation system for earthquake protection in hospital,3500000
W,Structural,Structural modifications to support green roof on existing building,750000
W,Construction Fence,Installation of digital display construction fence for public information,110000
W,Construction Fence,Blast-resistant temporary fencing for demolition project,95000
W,Sidewalk Shed,Sidewalk shed with integrated public seating and planters,130000
W,Supported Scaffold,Temporary work platforms for clock tower restoration,140000
W,Antenna,Installation of emergency communication antenna system for first responders,280000
W,Boiler Equipment,Installation of dual-fuel boiler system for increased resilience,520000
W,Sign,Creation of kinetic facade signage for entertainment district,420000
W,Solar,Installation of solar canopy over parking lot with EV charging stations,680000
W,Standpipe,Upgrade of standpipe system in high-rise to support higher pressure requirements,350000
